,Title,Title_URL,Info,Number,Address,addax_URL,addax,additionallink_URL,additionallink,categories_URL,categories,proffoption,uiwide,findsimilar,Info1,Info2,Info3,uiwide4,addax_URL5,addax6,addax7,Name,lonLat,x,y
12,Klingenberg Bardrift AS,https://proff.no/selskap/klingenberg-bardrift-as/oslo/barer-og-puber/IF9LWFS01X8/,Mer info,Org nr 923 131 000,"Karl Johans gate 27, 0159 Oslo",,,https://proff.no/karts%C3%B8k?id=IF9LWFS01X8,Vis i kart,https://proff.no/s%C3%B8k-etter-bransje/barer-og-puber/I:2492/?q=Barer%20og%20puber,Barer og puber,Sammenlign,Overvåk,Finn lignende,"
            Driftsinntekter 2021

            14 861' NOK
        ",Driftsinntekter 2021,,Daglig leder,https://proff.no/rolle/morten-guldvik/-/906603/,Morten Guldvik,(f 1984),,"[10.73997, 59.913595]",10.73997,59.913595
13,Jaeger AS,https://proff.no/selskap/jaeger-as/oslo/barer-og-puber/IGGZITC01X8/,Mer info,Org nr 995 990 016,"Grensen 9, 0159 Oslo",,,https://proff.no/karts%C3%B8k?id=IGGZITC01X8,Vis i kart,https://proff.no/s%C3%B8k-etter-bransje/barer-og-puber/I:2492/?q=Barer%20og%20puber,Barer og puber,Sammenlign,Overvåk,Finn lignende,"
            Driftsinntekter 2021

            14 733' NOK
        ",Driftsinntekter 2021,"
            Ansatte

            44
        ",Daglig leder,https://proff.no/rolle/ola-smith-simonsen/-/772417/,Ola Smith-Simonsen,(f 1976),,"[10.743711, 59.914048]",10.743711,59.914048
14,Parkteatret Bar AS,https://proff.no/selskap/parkteatret-bar-as/oslo/barer-og-puber/IGCHA5U01X8/,Mer info,Org nr 988 420 530,"Olaf Ryes plass 11, 0552 Oslo",tel:22356298,22 35 62 98,https://proff.no/karts%C3%B8k?id=IGCHA5U01X8,Vis i kart,https://proff.no/s%C3%B8k-etter-bransje/barer-og-puber/I:2492/?q=Barer%20og%20puber,Barer og puber,Sammenlign,Overvåk,Finn lignende,"
            Driftsinntekter 2021

            14 073' NOK
        ",Driftsinntekter 2021,"
            Ansatte

            79
        ",Daglig leder,https://proff.no/rolle/dan-michael-danino/-/1014231/,Dan-Michael Danino,(f 1980),,"[10.758325, 59.923492]",10.758325,59.923492
15,Tilt AS,https://proff.no/selskap/tilt-as/oslo/barer-og-puber/IGFPRJU01X8/,Mer info,Org nr 993 855 162,"Torggata 16, 0181 Oslo",tel:97782025,977 82 025,https://proff.no/karts%C3%B8k?id=IGFPRJU01X8,Vis i kart,https://proff.no/s%C3%B8k-etter-bransje/barer-og-puber/I:2492/?q=Barer%20og%20puber,Barer og puber,Sammenlign,Overvåk,Finn lignende,"
            Driftsinntekter 2021

            13 704' NOK
        ",Driftsinntekter 2021,"
            Ansatte

            19
        ",Daglig leder,https://proff.no/rolle/bj%C3%B8rn-inge-larsen/-/583421/,Bjørn Inge Larsen,(f 1973),,"[10.751005, 59.915926]",10.751005,59.915926
16,Dråpen Solsiden AS,https://proff.no/selskap/dr%C3%A5pen-solsiden-as/oslo/barer-og-puber/IGDRFZ701X8/,Mer info,Org nr 990 574 243,"Observatoriegata 25, 0254 Oslo",,,https://proff.no/karts%C3%B8k?id=IGDRFZ701X8,Vis i kart,https://proff.no/s%C3%B8k-etter-bransje/barer-og-puber/I:2492/?q=Barer%20og%20puber,Barer og puber,Sammenlign,Overvåk,Finn lignende,"
            Driftsinntekter 2021

            12 886' NOK
        ",Driftsinntekter 2021,"
            Ansatte

            51
        ",Daglig leder,https://proff.no/rolle/jan-tore-fladvad/-/215518/,Jan-Tore Fladvad,(f 1970),,"[10.72341, 59.911926]",10.72341,59.911926
17,String Showbar,https://proff.no/selskap/string-showbar/oslo/barer-og-puber/IGB30KB01X8/,Mer info,Org nr 986 075 291,"Skippergata 21, 0154 Oslo",tel:22418900,22 41 89 00,https://proff.no/karts%C3%B8k?id=IGB30KB01X8,Vis i kart,https://proff.no/s%C3%B8k-etter-bransje/barer-og-puber/I:2492/?q=Barer%20og%20puber,Barer og puber,Sammenlign,Overvåk,Finn lignende,"
            Driftsinntekter 2021

            12 656' NOK
        ",Driftsinntekter 2021,"
            Ansatte

            4
        ",Daglig leder,https://proff.no/rolle/magnus-saxon-miller-morland/-/306650/,Magnus Saxon Miller Morland,(f 1972),Saxon Bar & Restaurantdrift AS,"[10.747522, 59.910962]",10.747522,59.910962
18,Nox,https://proff.no/selskap/nox/oslo/barer-og-puber/IGEEI4901X8/,Mer info,Org nr 991 650 105,"Henrik Ibsens gate 100, 0255 Oslo",,,https://proff.no/karts%C3%B8k?id=IGEEI4901X8,Vis i kart,https://proff.no/s%C3%B8k-etter-bransje/barer-og-puber/I:2492/?q=Barer%20og%20puber,Barer og puber,Sammenlign,Overvåk,Finn lignende,"
            Driftsinntekter 2021

            11 734' NOK
        ",Driftsinntekter 2021,"
            Ansatte

            40
        ",Daglig leder,https://proff.no/rolle/frederik-holger-mygind/-/1895528/,Frederik Holger Mygind,(f 1985),La Belle Drift AS,"[10.718812, 59.914153]",10.718812,59.914153
19,Babar Invest AS,https://proff.no/selskap/babar-invest-as/oslo/barer-og-puber/IF6AZMW01X8/,Mer info,Org nr 917 583 080,"Stortingsgata 8, 0161 Oslo",tel:22426846,22 42 68 46,https://proff.no/karts%C3%B8k?id=IF6AZMW01X8,Vis i kart,https://proff.no/s%C3%B8k-etter-bransje/barer-og-puber/I:2492/?q=Barer%20og%20puber,Barer og puber,Sammenlign,Overvåk,Finn lignende,"
            Driftsinntekter 2021

            10 916' NOK
        ",Driftsinntekter 2021,"
            Ansatte

            16
        ",Daglig leder,https://proff.no/rolle/babar-ali-butt/-/1924368/,Babar Ali Butt,(f 1972),,"[10.73755, 59.913151]",10.73755,59.913151
20,Chicken and Ribs AS,https://proff.no/selskap/chicken-and-ribs-as/oslo/barer-og-puber/IF2PN0K01X8/,Mer info,Org nr 911 548 100,"Vulkan 7, 0178 Oslo",,,https://proff.no/karts%C3%B8k?id=IF2PN0K01X8,Vis i kart,https://proff.no/s%C3%B8k-etter-bransje/barer-og-puber/I:2492/?q=Barer%20og%20puber,Barer og puber,Sammenlign,Overvåk,Finn lignende,"
            Driftsinntekter 2021

            10 814' NOK
        ",Driftsinntekter 2021,"
            Ansatte

            28
        ",Daglig leder,https://proff.no/rolle/bo-vivike/-/74687/,Bo Vivike,(f 1972),,"[10.751958, 59.922571]",10.751958,59.922571
21,Ac Blaze AS,https://proff.no/selskap/ac-blaze-as/oslo/barer-og-puber/IGFJWRS01X8/,Mer info,Org nr 993 581 992,"Grensen 1, 0159 Oslo",tel:22410309,22 41 03 09,https://proff.no/karts%C3%B8k?id=IGFJWRS01X8,Vis i kart,https://proff.no/s%C3%B8k-etter-bransje/barer-og-puber/I:2492/?q=Barer%20og%20puber,Barer og puber,Sammenlign,Overvåk,Finn lignende,"
            Driftsinntekter 2021

            9 993' NOK
        ",Driftsinntekter 2021,"
            Ansatte

            11
        ",Daglig leder,https://proff.no/rolle/hissain-alim/-/183827/,Hissain Alim,(f 1962),,"[10.744699, 59.913407]",10.744699,59.913407
22,Per på Hjørnet AS,https://proff.no/selskap/per-p%C3%A5-hj%C3%B8rnet-as/oslo/barer-og-puber/IF4H94Z01X8/,Mer info,Org nr 914 516 099,"C. J. Hambros plass 5, 0164 Oslo",tel:47786230,477 86 230,https://proff.no/karts%C3%B8k?id=IF4H94Z01X8,Vis i kart,https://proff.no/s%C3%B8k-etter-bransje/barer-og-puber/I:2492/?q=Barer%20og%20puber,Barer og puber,Sammenlign,Overvåk,Finn lignende,"
            Driftsinntekter 2021

            9 348' NOK
        ",Driftsinntekter 2021,"
            Ansatte

            14
        ",Daglig leder,https://proff.no/rolle/tadzedin-fetisi/-/985921/,Tadzedin Fetisi,(f 1974),,"[10.74086, 59.915408]",10.74086,59.915408
23,Buddha Biljard,https://proff.no/selskap/buddha-biljard/oslo/barer-og-puber/IGF99GJ01X8/,Mer info,Org nr 993 085 219,"Storgata 25, 0184 Oslo",tel:47300048,473 00 048,https://proff.no/karts%C3%B8k?id=IGF99GJ01X8,Vis i kart,https://proff.no/s%C3%B8k-etter-bransje/barer-og-puber/I:2492/?q=Barer%20og%20puber,Barer og puber,Sammenlign,Overvåk,Finn lignende,"
            Driftsinntekter 2021

            8 976' NOK
        ",Driftsinntekter 2021,"
            Ansatte

            7
        ",Daglig leder,https://proff.no/rolle/jan-petter-svendsen/-/953867/,Jan Petter Svendsen,(f 1967),Bb Storgata AS,"[10.751188, 59.914012]",10.751188,59.914012
24,Supreme Roastworks Grünerløkka AS,https://proff.no/selskap/supreme-roastworks-gr%C3%BCnerl%C3%B8kka-as/oslo/barer-og-puber/IFBB40K01X8/,Mer info,Org nr 925 986 836,"Thorvald Meyers gate 18 A, 0555 Oslo",tel:22714202,22 71 42 02,https://proff.no/karts%C3%B8k?id=IFBB40K01X8,Vis i kart,https://proff.no/s%C3%B8k-etter-bransje/barer-og-puber/I:2492/?q=Barer%20og%20puber,Barer og puber,Sammenlign,Overvåk,Finn lignende,"
            Driftsinntekter 2021

            8 853' NOK
        ",Driftsinntekter 2021,"
            Ansatte

            12
        ",Daglig leder,https://proff.no/rolle/odd-steinar-t%C3%B8llefsen/-/346181/,Odd-Steinar Tøllefsen,(f 1964),,"[10.759225, 59.9281]",10.759225,59.9281
25,Syng Mer AS,https://proff.no/selskap/syng-mer-as/oslo/barer-og-puber/IF5Y40G01X8/,Mer info,Org nr 916 982 224,"Arbeidersamfunnets plass 1, 0181 Oslo",tel:91585498,915 85 498,https://proff.no/karts%C3%B8k?id=IF5Y40G01X8,Vis i kart,https://proff.no/s%C3%B8k-etter-bransje/barer-og-puber/I:2492/?q=Barer%20og%20puber,Barer og puber,Sammenlign,Overvåk,Finn lignende,"
            Driftsinntekter 2021

            8 560' NOK
        ",Driftsinntekter 2021,"
            Ansatte

            27
        ",Daglig leder,https://proff.no/rolle/eirik-espolin-johnson/-/1391583/,Eirik Espolin Johnson,(f 1982),,"[10.751466, 59.91567]",10.751466,59.91567
26,Nlb Drift AS,https://proff.no/selskap/nlb-drift-as/oslo/barer-og-puber/IGC8DX301X8/,Mer info,Org nr 988 005 495,"Tordenskiolds gate 7-11, 0160 Oslo",tel:91315686,913 15 686,https://proff.no/karts%C3%B8k?id=IGC8DX301X8,Vis i kart,https://proff.no/s%C3%B8k-etter-bransje/barer-og-puber/I:2492/?q=Barer%20og%20puber,Barer og puber,Sammenlign,Overvåk,Finn lignende,"
            Driftsinntekter 2021

            8 413' NOK
        ",Driftsinntekter 2021,,Daglig leder,https://proff.no/rolle/remzi-idrizi/-/391520/,Remzi Idrizi,(f 1966),,"[10.735045, 59.974453]",10.735045,59.974453
27,Forest & Brown AS,https://proff.no/selskap/forest-brown-as/oslo/barer-og-puber/IGAGJ4U01X8/,Mer info,Org nr 985 026 270,"Niels Juels gate 31, 0257 Oslo",,,,,https://proff.no/s%C3%B8k-etter-bransje/barer-og-puber/I:2492/?q=Barer%20og%20puber,Barer og puber,Sammenlign,Overvåk,Finn lignende,"
            Driftsinntekter 2021

            7 582' NOK
        ",Driftsinntekter 2021,"
            Ansatte

            11
        ",Daglig leder,https://proff.no/rolle/jan-einar-skaug/-/205513/,Jan Einar Skaug,(f 1965),,"[10.714861, 59.91678]",10.714861,59.91678
28,Bar Boca,https://proff.no/selskap/bar-boca/oslo/barer-og-puber/IG5G0OW01X8/,Mer info,Org nr 976 604 288,"Thorvald Meyers gate 30, 0555 Oslo",tel:41164116,411 64 116,https://proff.no/karts%C3%B8k?id=IG5G0OW01X8,Vis i kart,https://proff.no/s%C3%B8k-etter-bransje/barer-og-puber/I:2492/?q=Barer%20og%20puber,Barer og puber,Sammenlign,Overvåk,Finn lignende,"
            Driftsinntekter 2021

            7 334' NOK
        ",Driftsinntekter 2021,"
            Ansatte

            23
        ",Daglig leder,https://proff.no/rolle/daniel-gjerde-fouche/-/1388769/,Daniel Gjerde Fouche,(f 1977),Art & Mat AS,"[10.759346, 59.925202]",10.759346,59.925202
29,F6,https://proff.no/selskap/f6/oslo/barer-og-puber/IF3SDYA01X8/,Mer info,Org nr 913 355 938,"Frognerveien 6, 0257 Oslo",tel:22555565,22 55 55 65,https://proff.no/karts%C3%B8k?id=IF3SDYA01X8,Vis i kart,https://proff.no/s%C3%B8k-etter-bransje/barer-og-puber/I:2492/?q=Barer%20og%20puber,Barer og puber,Sammenlign,Overvåk,Finn lignende,"
            Driftsinntekter 2021

            7 171' NOK
        ",Driftsinntekter 2021,"
            Ansatte

            21
        ",Daglig leder,https://proff.no/rolle/jesper-alexander-lennart-hjelm/-/1521090/,Jesper Alexander Lennart Hjelm,(f 1987),Frognerveien 6 AS,"[10.716577, 59.915716]",10.716577,59.915716
30,Burns Pub AS,https://proff.no/selskap/burns-pub-as/oslo/barer-og-puber/IE3T6ZU01X8/,Mer info,Org nr 852 927 402,"Stortingsgata 28, 0161 Oslo",tel:22832406,22 83 24 06,https://proff.no/karts%C3%B8k?id=IE3T6ZU01X8,Vis i kart,https://proff.no/s%C3%B8k-etter-bransje/barer-og-puber/I:2492/?q=Barer%20og%20puber,Barer og puber,Sammenlign,Overvåk,Finn lignende,"
            Driftsinntekter 2021

            7 060' NOK
        ",Driftsinntekter 2021,"
            Ansatte

            10
        ",Daglig leder,https://proff.no/rolle/bj%C3%B8rn-magnussen/-/69923/,Bjørn Magnussen,(f 1956),,"[10.732448, 59.914069]",10.732448,59.914069
31,Casa Isterica AS,https://proff.no/selskap/casa-isterica-as/oslo/barer-og-puber/IF9H3P501X8/,Mer info,Org nr 922 907 129,"Storgata 23, 0184 Oslo",tel:45876667,458 76 667,https://proff.no/karts%C3%B8k?id=IF9H3P501X8,Vis i kart,https://proff.no/s%C3%B8k-etter-bransje/barer-og-puber/I:2492/?q=Barer%20og%20puber,Barer og puber,Sammenlign,Overvåk,Finn lignende,"
            Driftsinntekter 2021

            6 927' NOK
        ",Driftsinntekter 2021,"
            Ansatte

            29
        ",Daglig leder,https://proff.no/rolle/antonio-corrado/-/2188284/,Antonio Corrado,(f 1987),,"[10.75077, 59.913892]",10.75077,59.913892
32,Kampen Kaffebar AS,https://proff.no/selskap/kampen-kaffebar-as/oslo/barer-og-puber/IF5DU5201X8/,Mer info,Org nr 916 036 310,"Normannsgata 18, 0655 Oslo",,,https://proff.no/karts%C3%B8k?id=IF5DU5201X8,Vis i kart,https://proff.no/s%C3%B8k-etter-bransje/barer-og-puber/I:2492/?q=Barer%20og%20puber,Barer og puber,Sammenlign,Overvåk,Finn lignende,"
            Driftsinntekter 2021

            6 694' NOK
        ",Driftsinntekter 2021,"
            Ansatte

            14
        ",Daglig leder,https://proff.no/rolle/philip-christopher-bernard-skopakow/-/2091813/,Philip Christopher Bernard Skopakow,(f 1984),,"[10.779989, 59.909756]",10.779989,59.909756
33,Fyrhuset Kuba Drift AS,https://proff.no/selskap/fyrhuset-kuba-drift-as/oslo/barer-og-puber/IF94KZN01X8/,Mer info,Org nr 922 323 011,"Maridalsveien 19, 0178 Oslo",,,https://proff.no/karts%C3%B8k?id=IF94KZN01X8,Vis i kart,https://proff.no/s%C3%B8k-etter-bransje/barer-og-puber/I:2492/?q=Barer%20og%20puber,Barer og puber,Sammenlign,Overvåk,Finn lignende,"
            Driftsinntekter 2021

            6 461' NOK
        ",Driftsinntekter 2021,"
            Ansatte

            12
        ",Daglig leder,https://proff.no/rolle/jo-bendik-olsen/-/2067309/,Jo Bendik Olsen,(f 1991),,"[10.751291, 59.923135]",10.751291,59.923135
34,Paddy`s Irish pub,https://proff.no/selskap/paddys-irish-pub/oslo/barer-og-puber/IG9I3AT01X8/,Mer info,Org nr 983 419 445,"Stortingsgata 28, 0161 Oslo",tel:22839676,22 83 96 76,https://proff.no/karts%C3%B8k?id=IG9I3AT01X8,Vis i kart,https://proff.no/s%C3%B8k-etter-bransje/barer-og-puber/I:2492/?q=Barer%20og%20puber,Barer og puber,Sammenlign,Overvåk,Finn lignende,"
            Driftsinntekter 2021

            6 372' NOK
        ",Driftsinntekter 2021,"
            Ansatte

            11
        ",Daglig leder,https://proff.no/rolle/geir-visnes/-/140101/,Geir Visnes,(f 1950),Gen Con Holding AS,"[10.732448, 59.914069]",10.732448,59.914069
35,Erlik Kaffe AS,https://proff.no/selskap/erlik-kaffe-as/oslo/barer-og-puber/IF6EUFD01X8/,Mer info,Org nr 917 762 953,"Akersgata 32, 0180 Oslo",tel:21380360,21 38 03 60,https://proff.no/karts%C3%B8k?id=IF6EUFD01X8,Vis i kart,https://proff.no/s%C3%B8k-etter-bransje/barer-og-puber/I:2492/?q=Barer%20og%20puber,Barer og puber,Sammenlign,Overvåk,Finn lignende,"
            Driftsinntekter 2021

            6 353' NOK
        ",Driftsinntekter 2021,"
            Ansatte

            32
        ",Daglig leder,https://proff.no/rolle/katrin-larsen/-/2163192/,Katrin Larsen,(f 1990),,"[10.743043, 59.914228]",10.743043,59.914228
36,Tømmerrenna Bar AS,https://proff.no/selskap/t%C3%B8mmerrenna-bar-as/oslo/barer-og-puber/IF7W11D01X8/,Mer info,Org nr 920 244 289,"Fridtjof Nansens plass 9, 0160 Oslo",,,https://proff.no/karts%C3%B8k?id=IF7W11D01X8,Vis i kart,https://proff.no/s%C3%B8k-etter-bransje/barer-og-puber/I:2492/?q=Barer%20og%20puber,Barer og puber,Sammenlign,Overvåk,Finn lignende,"
            Driftsinntekter 2021

            6 284' NOK
        ",Driftsinntekter 2021,"
            Ansatte

            14
        ",Daglig leder,https://proff.no/rolle/jo-bendik-olsen/-/2067309/,Jo Bendik Olsen,(f 1991),,"[10.734928, 59.912269]",10.734928,59.912269
37,Våps AS,https://proff.no/selskap/v%C3%A5ps-as/oslo/barer-og-puber/IDJML2U01X8/,Mer info,Org nr 819 026 742,"Rådhusgata 28, 0151 Oslo",,,https://proff.no/karts%C3%B8k?id=IDJML2U01X8,Vis i kart,https://proff.no/s%C3%B8k-etter-bransje/barer-og-puber/I:2492/?q=Barer%20og%20puber,Barer og puber,Sammenlign,Overvåk,Finn lignende,"
            Driftsinntekter 2021

            6 074' NOK
        ",Driftsinntekter 2021,"
            Ansatte

            14
        ",Styrets leder,https://proff.no/rolle/olaf-masterman-loly/-/351214/,Olaf Masterman Loly,(f 1961),,"[10.740738, 59.909831]",10.740738,59.909831
38,Stallgutten AS,https://proff.no/selskap/stallgutten-as/oslo/barer-og-puber/IF7R3GN01X8/,Mer info,Org nr 920 014 151,"Torshovgata 5, 0476 Oslo",tel:47022710,470 22 710,https://proff.no/karts%C3%B8k?id=IF7R3GN01X8,Vis i kart,https://proff.no/s%C3%B8k-etter-bransje/barer-og-puber/I:2492/?q=Barer%20og%20puber,Barer og puber,Sammenlign,Overvåk,Finn lignende,"
            Driftsinntekter 2021

            5 781' NOK
        ",Driftsinntekter 2021,"
            Ansatte

            13
        ",Daglig leder,https://proff.no/rolle/tom-fredrik-de-ridder/-/1621812/,Tom-Fredrik De Ridder,(f 1988),,"[10.763371, 59.933849]",10.763371,59.933849
